,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
123,20181218,2018-12-18 13:40:33,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司“14鲁金茂MTN001”有关事项进展情况的公告(2018年11月1日-2018年12月4日),中国货币网,,
124,20181228,2018-12-28 12:57:00,2018年，山东倒下了4家“500强企业”！,陆家嘴扫地僧,,
125,20181226,2018-12-26 19:45:00,有多少违约可以重来，难忘2018（下）,新浪网,,
126,20181228,2018-12-28 16:17:00,16昆仑01：先还一半，中不中？中！,债券之星,,
127,20190107,2019-01-07 17:01:00,东营地炼企业互保圈详解,联合见智,,
128,20190108,2019-01-08 10:22:56,山东金茂纺织化工集团有限公司关于2014年度第一期中期票据持有人会议决议的答复,上海清算所,,
129,20190109,2019-01-09 08:42:00,山东地炼企业互保圈风险排查,搜狐财经,,
130,20190114,2019-01-14 07:32:00,山东民营炼化危机：两企业破产重整！恒力、盛虹、浙石化群雄逐鹿，新一轮洗牌到来！,化纤头条,,
131,20190114,2019-01-14 16:28:00,变更公告,大众数字报,,
132,20190113,2019-01-13 19:30:00,2018年，山东倒下了4家 “500强企业”！,债券圈,,
133,20190103,2019-01-03 17:19:31,山东金茂纺织化工集团有限公司2014年度第一期中期票据持有人会议决议公告,上海清算所,,
134,20190123,2019-01-23 14:49:07,山东金茂纺织化工集团有限公司关于破产重整进展的公告,上海清算所,,
135,20190122,2019-01-22 04:05:00,民企“担保圈”风险难题待解,经济参考报,,
136,20190123,2019-01-23 17:08:18,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2018年12月5日-2018年12月31日),中国货币网,,
137,20190125,2019-01-25 10:21:00,民营炼化倒闭关停，在环保安全、资金等困境中如何断臂求生,新浪微博,,
138,20190125,2019-01-25 16:49:41,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
139,20190201,2019-02-01 17:12:43,财通证券股份有限公司关于山东金茂纺织化工集团有限公司公开发行2015年公司债券临时受托管理事务报告,上海交易所,,
140,20190202,2019-02-02 21:11:00,胜通要破产，当地政府要求银行暂不追索担保单位代偿责任,债券圈,,
141,20190215,2019-02-15 09:46:00,山东金茂：已进入破产重整 下周四无法按约偿付“14鲁金茂MTN001”,新浪财经,山东金茂、、进入破产重整 无法按约偿付“14鲁金茂MTN001”,经营风险、信用风险
142,20190215,2019-02-15 11:32:00,这些石油企业将迎生死挑战！接踵破产、利润骤减，2019路在何方？,长兴岛石化,,
143,20190215,2019-02-15 18:21:48,新世纪评级关于关注山东金茂纺织化工集团有限公司2014年度第一期中期票据到期本息兑付存在不确定性的特别风险提示公告的公告,中国货币网,,
144,20190215,2019-02-15 15:52:00,金茂纺织化工：“14鲁金茂MTN001”本息兑付存不确定性,金融界,,
145,20190219,2019-02-19 07:30:00,中短期发行利率下降，信用利差收窄明显,靳论固收,,
146,20190226,2019-02-26 10:36:00,开年债市违约高发 业界建议尤要做好发债资金用途监控,中国经济导报,,
147,20190226,2019-02-26 21:02:00,巨头的陨落！曾是民企百强，如今债务缠身，10亿票据未按期兑付,汇票栈,,
148,20190227,2019-02-27 17:12:05,山东金茂纺织化工集团有限公司关于“14鲁金茂MTN001”违约后续进展情况的公告,上海清算所,,
149,20190227,2019-02-27 10:41:21,上海浦东发展银行股份有限公司关于山东金茂纺织化工集团有限公司14鲁金茂MTN001有关事项进展情况的公告(2019年1月1日-2019年1月31日),上海清算所,,
150,20190226,2019-02-26 10:08:22,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
151,20190228,2019-02-28 10:07:00,曾为“明珠”，如今过度负债遭破产重整！182亿山东纺化巨头为何陨落？,全球纺织网资讯中心,,
152,20190301,2019-03-01 16:32:00,担保圈崩塌，破产危机来袭？山东3家“500强”化工企业前景堪忧,内蒙古化工,,
